model,rmse,mae,bias,r2,weighted_rmse
GlucoseOnly_OLS,0.5862355212293419,0.38966156150256187,0.0005433349554502765,0.7329537354925877,0.516359000012471
Pooled_OLS,0.5732523421784678,0.37603211049171165,0.00048024270980405085,0.7446511398140667,0.4995239547972935
HardAge_OLS,0.5774212774999247,0.37681320048827954,-0.00012610593894989922,0.7409236234227798,0.50606663897674
SmoothVC_OLS,0.591183742180368,0.38283256274630617,-0.0015893288473633567,0.7284266106749571,0.5196490565831914
Pooled_LightGBM,0.5937450777180617,0.3800414445402504,-0.0019273572905184363,0.7260683001690248,0.5001312107852095
HardAge_LightGBM,0.6601329855676891,0.4120190147556602,-0.005107181147593097,0.6613858392383068,0.564483160213943
