method,group,nominal,coverage,mean_width,interval_score
GlobalResidual,Overall,0.90,0.904371338440739,1.592891674425737,2.68707924518505
GlobalResidual,Age20_39,0.90,0.9621621621621622,1.5929271807242171,1.9013423912608127
GlobalResidual,Age40_64,0.90,0.8928355196770938,1.5927916773212538,2.868432063651018
GlobalResidual,Age65plus,0.90,0.8562277580071175,1.5930259269804625,3.298431739159726
AgeMondrian,Overall,0.90,0.9036502929247409,1.610310856108783,2.6385159688983326
AgeMondrian,Age20_39,0.90,0.912012012012012,1.2186416167742375,1.7422932686272659
AgeMondrian,Age40_64,0.90,0.9037336024217961,1.693079416850385,2.8839890817136595
AgeMondrian,Age65plus,0.90,0.893594306049822,1.9285102683897082,3.2677338756252747
