Layer,Nominal,Group,Coverage,MeanWidth,IntervalScore
OriginalCQR_Internal,0.90000000000000002,Overall,0.90112663361874723,1.6192043811522041,2.4130346284218525
OriginalCQR_Internal,0.90000000000000002,Age 20-39,0.90720720720720716,1.1918044190452979,1.5860960785659788
OriginalCQR_Internal,0.90000000000000002,Age 40-64,0.89707366296670032,1.7546499284800918,2.7163873345161922
OriginalCQR_Internal,0.90000000000000002,Age 65+,0.90106761565836302,1.8868588960298964,2.8580854157252706
OriginalCQR_Internal,0.94999999999999996,Overall,0.95358269490761605,2.1576263578771773,2.9843484411882026
OriginalCQR_Internal,0.94999999999999996,Age 20-39,0.96276276276276274,1.5887697637256302,1.9278966081529221
OriginalCQR_Internal,0.94999999999999996,Age 40-64,0.9455095862764884,2.3314866936178,3.3701168130920829
OriginalCQR_Internal,0.94999999999999996,Age 65+,0.95693950177935938,2.5251760002009713,3.5560574522998589
OriginalCQR_ForwardSecondary,0.90000000000000002,Overall,0.92236467236467234,1.6019181461507337,2.2831252361322889
OriginalCQR_ForwardSecondary,0.90000000000000002,Age 20-39,0.92835820895522392,1.2539137309256254,1.7720293902100699
OriginalCQR_ForwardSecondary,0.90000000000000002,Age 40-64,0.91936824605153777,1.6851130729654618,2.5317060536177469
OriginalCQR_ForwardSecondary,0.90000000000000002,Age 65+,0.92192513368983953,1.7442491207418616,2.3295332503920538
OriginalCQR_ForwardSecondary,0.94999999999999996,Overall,0.96011396011396011,2.1147261617224498,2.8811408615959322
OriginalCQR_ForwardSecondary,0.94999999999999996,Age 20-39,0.96268656716417911,1.5895323196265219,2.3523939231495068
OriginalCQR_ForwardSecondary,0.94999999999999996,Age 40-64,0.9542809642560266,2.2239487631262418,3.1476011802516983
OriginalCQR_ForwardSecondary,0.94999999999999996,Age 65+,0.96577540106951876,2.3505390865518718,2.9171929315598031
